E_A#1 / keV;N_A#1;E_A#2 / keV;N_A#2;E_A#3 / keV;N_A#3;E_A#4 / keV;N_A#4;E_A#5 / keV;N_A#5;E_A#6 / keV;N_A#6;E_A#7 / keV;N_A#7;E_A#8 / keV;N_A#8;E_A#9 / keV;N_A#9;E_A#10 / keV;N_A#10;E_A#11 / keV;N_A#11;E_A#12 / keV;N_A#12
14,2;35;14,2;10;14,2;12;14,2;76;14,2;73;14,2;187;14,2;208;14,2;87;14,2;23;14,2;27;14,2;16;14,2;10
14,2;32;14,2;11;14,2;6;14,2;80;14,2;97;14,2;162;14,2;213;14,2;90;14,2;28;14,2;26;14,2;8;14,2;6
14,3;29;14,3;13;14,3;13;14,3;88;14,3;93;14,3;174;14,3;236;14,3;106;14,3;28;14,3;19;14,3;13;14,3;10
14,4;34;14,4;11;14,4;10;14,4;115;14,4;74;14,4;147;14,4;236;14,4;99;14,4;27;14,4;24;14,4;11;14,4;9
14,5;43;14,5;11;14,5;12;14,5;96;14,5;86;14,5;126;14,5;237;14,5;81;14,5;29;14,5;32;14,5;12;14,5;14
14,6;40;14,6;12;14,6;13;14,6;106;14,6;88;14,6;125;14,6;264;14,6;94;14,6;26;14,6;22;14,6;15;14,6;7
14,7;31;14,7;14;14,7;12;14,7;92;14,7;102;14,7;140;14,7;260;14,7;88;14,7;30;14,7;38;14,7;12;14,7;2
14,8;36;14,8;10;14,8;15;14,8;95;14,8;77;14,8;95;14,8;283;14,8;95;14,8;33;14,8;19;14,8;9;14,8;14
14,8;36;14,8;12;14,8;8;14,8;91;14,8;81;14,8;102;14,8;426;14,8;76;14,8;31;14,8;24;14,8;14;14,8;10
14,9;38;14,9;10;14,9;17;14,9;79;14,9;99;14,9;111;14,9;560;14,9;99;14,9;48;14,9;19;14,9;20;14,9;10
15;39;15;12;15;8;15;70;15;102;15;102;15;868;15;95;15;49;15;28;15;12;15;17
15,1;23;15,1;9;15,1;12;15,1;55;15,1;106;15,1;96;15,1;1595;15,1;98;15,1;29;15,1;25;15,1;13;15,1;15
15,2;30;15,2;14;15,2;12;15,2;49;15,2;85;15,2;86;15,2;2917;15,2;95;15,2;39;15,2;29;15,2;12;15,2;5
15,3;21;15,3;22;15,3;15;15,3;42;15,3;103;15,3;87;15,3;4491;15,3;83;15,3;33;15,3;19;15,3;17;15,3;9
15,4;19;15,4;13;15,4;17;15,4;42;15,4;116;15,4;88;15,4;6807;15,4;99;15,4;38;15,4;20;15,4;14;15,4;12
15,4;20;15,4;10;15,4;14;15,4;42;15,4;137;15,4;103;15,4;8652;15,4;125;15,4;32;15,4;14;15,4;15;15,4;9
15,5;20;15,5;12;15,5;7;15,5;37;15,5;117;15,5;84;15,5;9604;15,5;115;15,5;37;15,5;17;15,5;8;15,5;6
15,6;13;15,6;23;15,6;9;15,6;32;15,6;128;15,6;86;15,6;10054;15,6;126;15,6;32;15,6;10;15,6;11;15,6;8
15,7;16;15,7;15;15,7;6;15,7;21;15,7;138;15,7;100;15,7;9829;15,7;126;15,7;24;15,7;16;15,7;12;15,7;18
15,8;21;15,8;18;15,8;13;15,8;25;15,8;118;15,8;99;15,8;8477;15,8;145;15,8;29;15,8;14;15,8;13;15,8;12
15,9;19;15,9;15;15,9;11;15,9;27;15,9;107;15,9;109;15,9;6816;15,9;135;15,9;30;15,9;9;15,9;13;15,9;18
16;18;16;21;16;12;16;17;16;97;16;104;16;5026;16;143;16;46;16;9;16;16;16;11
16;26;16;21;16;18;16;18;16;80;16;98;16;3590;16;149;16;28;16;11;16;18;16;8
16,1;17;16,1;19;16,1;11;16,1;18;16,1;64;16,1;102;16,1;2267;16,1;168;16,1;37;16,1;12;16,1;19;16,1;14
16,2;16;16,2;19;16,2;9;16,2;18;16,2;56;16,2;99;16,2;1375;16,2;168;16,2;43;16,2;11;16,2;19;16,2;19
16,3;16;16,3;24;16,3;13;16,3;14;16,3;58;16,3;125;16,3;729;16,3;195;16,3;36;16,3;15;16,3;20;16,3;14
16,4;20;16,4;18;16,4;22;16,4;22;16,4;52;16,4;107;16,4;437;16,4;215;16,4;39;16,4;18;16,4;28;16,4;15
16,5;25;16,5;32;16,5;21;16,5;16;16,5;49;16,5;113;16,5;324;16,5;256;16,5;36;16,5;22;16,5;33;16,5;17
16,6;26;16,6;23;16,6;23;16,6;25;16,6;40;16,6;116;16,6;295;16,6;281;16,6;36;16,6;19;16,6;35;16,6;17
