E_A#1 / keV;N_A#1;E_A#2 / keV;N_A#2;E_A#3 / keV;N_A#3;E_A#4 / keV;N_A#4;E_A#5 / keV;N_A#5;E_A#6 / keV;N_A#6;E_A#7 / keV;N_A#7;E_A#8 / keV;N_A#8;E_A#9 / keV;N_A#9;E_A#10 / keV;N_A#10;E_A#11 / keV;N_A#11;E_A#12 / keV;N_A#12
33,7;0;33,7;0;33,7;0;33,7;0;33,7;0;33,7;0;33,7;1;33,7;2;33,7;0;33,7;0;33,7;0;33,7;0
33,8;0;33,8;0;33,8;0;33,8;0;33,8;0;33,8;0;33,8;1;33,8;0;33,8;0;33,8;0;33,8;0;33,8;0
33,9;0;33,9;0;33,9;0;33,9;0;33,9;0;33,9;0;33,9;0;33,9;0;33,9;2;33,9;0;33,9;0;33,9;0
34;0;34;0;34;0;34;0;34;0;34;0;34;1;34;1;34;1;34;0;34;0;34;0
34,1;0;34,1;0;34,1;0;34,1;0;34,1;0;34,1;0;34,1;0;34,1;1;34,1;0;34,1;0;34,1;0;34,1;0
34,1;0;34,1;0;34,1;0;34,1;0;34,1;0;34,1;0;34,1;0;34,1;0;34,1;0;34,1;0;34,1;0;34,1;0
34,2;0;34,2;0;34,2;0;34,2;0;34,2;0;34,2;0;34,2;1;34,2;1;34,2;0;34,2;0;34,2;0;34,2;0
34,3;0;34,3;0;34,3;0;34,3;0;34,3;0;34,3;0;34,3;0;34,3;0;34,3;0;34,3;0;34,3;0;34,3;0
34,4;0;34,4;0;34,4;0;34,4;0;34,4;0;34,4;0;34,4;0;34,4;2;34,4;0;34,4;0;34,4;0;34,4;0
34,5;0;34,5;0;34,5;0;34,5;1;34,5;0;34,5;0;34,5;1;34,5;2;34,5;0;34,5;0;34,5;0;34,5;0
34,6;0;34,6;0;34,6;0;34,6;0;34,6;0;34,6;0;34,6;0;34,6;2;34,6;0;34,6;0;34,6;0;34,6;0
34,7;0;34,7;0;34,7;0;34,7;0;34,7;0;34,7;0;34,7;0;34,7;2;34,7;0;34,7;0;34,7;0;34,7;0
34,7;0;34,7;0;34,7;0;34,7;0;34,7;0;34,7;0;34,7;0;34,7;0;34,7;0;34,7;0;34,7;0;34,7;0
34,8;0;34,8;0;34,8;0;34,8;0;34,8;0;34,8;0;34,8;0;34,8;0;34,8;0;34,8;0;34,8;0;34,8;0
34,9;0;34,9;0;34,9;0;34,9;0;34,9;0;34,9;0;34,9;0;34,9;5;34,9;0;34,9;0;34,9;0;34,9;0
35;0;35;0;35;0;35;0;35;0;35;0;35;0;35;0;35;0;35;0;35;0;35;0
35,1;0;35,1;0;35,1;0;35,1;0;35,1;0;35,1;0;35,1;0;35,1;1;35,1;0;35,1;0;35,1;0;35,1;0
35,2;0;35,2;0;35,2;0;35,2;0;35,2;0;35,2;0;35,2;0;35,2;1;35,2;0;35,2;0;35,2;0;35,2;0
35,3;0;35,3;0;35,3;0;35,3;0;35,3;0;35,3;0;35,3;0;35,3;1;35,3;1;35,3;0;35,3;0;35,3;0
35,3;0;35,3;0;35,3;0;35,3;0;35,3;0;35,3;0;35,3;0;35,3;1;35,3;0;35,3;0;35,3;0;35,3;0
35,4;0;35,4;0;35,4;0;35,4;0;35,4;0;35,4;0;35,4;0;35,4;0;35,4;0;35,4;0;35,4;0;35,4;0
35,5;0;35,5;0;35,5;0;35,5;0;35,5;0;35,5;0;35,5;0;35,5;0;35,5;0;35,5;0;35,5;0;35,5;0
35,6;0;35,6;0;35,6;0;35,6;0;35,6;0;35,6;0;35,6;0;35,6;1;35,6;1;35,6;0;35,6;1;35,6;0
35,7;0;35,7;0;35,7;0;35,7;0;35,7;0;35,7;0;35,7;0;35,7;0;35,7;0;35,7;0;35,7;0;35,7;0
35,8;0;35,8;0;35,8;0;35,8;0;35,8;0;35,8;0;35,8;0;35,8;0;35,8;0;35,8;0;35,8;0;35,8;0
35,9;0;35,9;0;35,9;0;35,9;0;35,9;0;35,9;0;35,9;0;35,9;0;35,9;0;35,9;0;35,9;0;35,9;0
36;0;36;0;36;0;36;0;36;0;36;0;36;0;36;0;36;0;36;0;36;0;36;0
36;0;36;0;36;0;36;0;36;0;36;0;36;0;36;0;36;0;36;0;36;0;36;0
36,1;0;36,1;0;36,1;0;36,1;0;36,1;0;36,1;0;36,1;0;36,1;0;36,1;0;36,1;0;36,1;0;36,1;0
36,2;0;36,2;0;36,2;0;36,2;0;36,2;0;36,2;0;36,2;1;36,2;0;36,2;0;36,2;0;36,2;0;36,2;0
36,3;0;36,3;0;36,3;0;36,3;0;36,3;0;36,3;0;36,3;0;36,3;0;36,3;0;36,3;0;36,3;0;36,3;0
36,4;0;36,4;0;36,4;0;36,4;0;36,4;0;36,4;0;36,4;0;36,4;0;36,4;1;36,4;0;36,4;0;36,4;0
36,5;0;36,5;0;36,5;0;36,5;0;36,5;0;36,5;0;36,5;0;36,5;0;36,5;1;36,5;0;36,5;0;36,5;0
36,6;1;36,6;0;36,6;0;36,6;0;36,6;0;36,6;0;36,6;0;36,6;0;36,6;1;36,6;0;36,6;0;36,6;0
36,6;0;36,6;0;36,6;0;36,6;0;36,6;0;36,6;0;36,6;1;36,6;0;36,6;0;36,6;0;36,6;0;36,6;0
36,7;0;36,7;0;36,7;0;36,7;0;36,7;0;36,7;0;36,7;0;36,7;1;36,7;1;36,7;0;36,7;0;36,7;0
36,8;0;36,8;0;36,8;0;36,8;0;36,8;0;36,8;0;36,8;0;36,8;0;36,8;0;36,8;0;36,8;0;36,8;0
36,9;0;36,9;0;36,9;0;36,9;0;36,9;0;36,9;0;36,9;0;36,9;1;36,9;0;36,9;0;36,9;0;36,9;0
37;0;37;0;37;0;37;0;37;0;37;0;37;0;37;0;37;0;37;0;37;0;37;0
37,1;0;37,1;0;37,1;0;37,1;0;37,1;0;37,1;0;37,1;2;37,1;1;37,1;0;37,1;0;37,1;0;37,1;0
37,2;0;37,2;0;37,2;0;37,2;0;37,2;0;37,2;0;37,2;1;37,2;0;37,2;0;37,2;0;37,2;0;37,2;0
37,2;0;37,2;0;37,2;0;37,2;0;37,2;0;37,2;0;37,2;0;37,2;0;37,2;0;37,2;0;37,2;0;37,2;0
37,3;0;37,3;0;37,3;0;37,3;0;37,3;0;37,3;0;37,3;0;37,3;0;37,3;0;37,3;0;37,3;0;37,3;0
37,4;0;37,4;0;37,4;0;37,4;0;37,4;0;37,4;0;37,4;0;37,4;0;37,4;0;37,4;0;37,4;0;37,4;0
37,5;0;37,5;0;37,5;0;37,5;0;37,5;0;37,5;0;37,5;0;37,5;0;37,5;0;37,5;0;37,5;0;37,5;0
37,6;0;37,6;0;37,6;0;37,6;0;37,6;0;37,6;0;37,6;0;37,6;0;37,6;1;37,6;0;37,6;0;37,6;0
37,7;0;37,7;0;37,7;0;37,7;0;37,7;0;37,7;0;37,7;0;37,7;0;37,7;0;37,7;0;37,7;0;37,7;0
37,8;0;37,8;0;37,8;0;37,8;0;37,8;0;37,8;0;37,8;0;37,8;0;37,8;0;37,8;0;37,8;0;37,8;0
37,8;0;37,8;0;37,8;0;37,8;0;37,8;0;37,8;0;37,8;0;37,8;0;37,8;0;37,8;0;37,8;0;37,8;0
37,9;0;37,9;0;37,9;0;37,9;0;37,9;0;37,9;0;37,9;0;37,9;0;37,9;0;37,9;0;37,9;0;37,9;0
38;0;38;0;38;0;38;0;38;0;38;0;38;1;38;0;38;0;38;0;38;0;38;0
38,1;0;38,1;0;38,1;0;38,1;0;38,1;0;38,1;0;38,1;0;38,1;0;38,1;0;38,1;0;38,1;0;38,1;0
38,2;0;38,2;0;38,2;0;38,2;0;38,2;0;38,2;0;38,2;0;38,2;0;38,2;0;38,2;0;38,2;0;38,2;0
38,3;0;38,3;0;38,3;0;38,3;0;38,3;0;38,3;0;38,3;0;38,3;0;38,3;0;38,3;0;38,3;0;38,3;0
38,4;0;38,4;0;38,4;0;38,4;0;38,4;0;38,4;0;38,4;0;38,4;0;38,4;0;38,4;0;38,4;0;38,4;0
38,4;0;38,4;0;38,4;0;38,4;0;38,4;0;38,4;0;38,4;0;38,4;0;38,4;0;38,4;0;38,4;0;38,4;0
38,5;0;38,5;0;38,5;0;38,5;0;38,5;0;38,5;0;38,5;0;38,5;0;38,5;0;38,5;0;38,5;0;38,5;0
38,6;0;38,6;0;38,6;0;38,6;0;38,6;0;38,6;0;38,6;1;38,6;0;38,6;0;38,6;0;38,6;0;38,6;0
38,7;0;38,7;0;38,7;0;38,7;0;38,7;0;38,7;0;38,7;0;38,7;0;38,7;0;38,7;0;38,7;0;38,7;0
38,8;0;38,8;0;38,8;0;38,8;0;38,8;0;38,8;0;38,8;0;38,8;0;38,8;0;38,8;0;38,8;0;38,8;0
38,9;0;38,9;0;38,9;0;38,9;0;38,9;0;38,9;0;38,9;0;38,9;0;38,9;0;38,9;0;38,9;0;38,9;0
39;0;39;0;39;0;39;0;39;0;39;0;39;0;39;0;39;0;39;0;39;0;39;0
39,1;0;39,1;0;39,1;0;39,1;0;39,1;0;39,1;0;39,1;0;39,1;0;39,1;0;39,1;0;39,1;0;39,1;0
39,1;0;39,1;0;39,1;0;39,1;0;39,1;0;39,1;0;39,1;0;39,1;0;39,1;0;39,1;0;39,1;0;39,1;0
39,2;0;39,2;0;39,2;0;39,2;0;39,2;0;39,2;0;39,2;1;39,2;0;39,2;0;39,2;0;39,2;0;39,2;0
39,3;0;39,3;0;39,3;0;39,3;0;39,3;0;39,3;0;39,3;0;39,3;0;39,3;0;39,3;0;39,3;0;39,3;0
39,4;0;39,4;0;39,4;0;39,4;0;39,4;0;39,4;0;39,4;0;39,4;0;39,4;0;39,4;0;39,4;0;39,4;0
39,5;0;39,5;0;39,5;0;39,5;0;39,5;0;39,5;0;39,5;1;39,5;0;39,5;0;39,5;0;39,5;0;39,5;0
39,6;0;39,6;0;39,6;0;39,6;0;39,6;0;39,6;0;39,6;0;39,6;0;39,6;0;39,6;0;39,6;0;39,6;0
39,7;0;39,7;0;39,7;0;39,7;0;39,7;0;39,7;0;39,7;0;39,7;0;39,7;0;39,7;0;39,7;0;39,7;0
39,7;0;39,7;0;39,7;0;39,7;0;39,7;0;39,7;0;39,7;0;39,7;0;39,7;0;39,7;0;39,7;0;39,7;0
39,8;0;39,8;0;39,8;0;39,8;0;39,8;0;39,8;0;39,8;0;39,8;0;39,8;1;39,8;0;39,8;0;39,8;0
39,9;0;39,9;0;39,9;0;39,9;0;39,9;0;39,9;0;39,9;0;39,9;0;39,9;0;39,9;0;39,9;0;39,9;0
40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;0
40,1;0;40,1;0;40,1;0;40,1;0;40,1;0;40,1;0;40,1;0;40,1;0;40,1;0;40,1;0;40,1;0;40,1;0
40,2;0;40,2;0;40,2;0;40,2;0;40,2;0;40,2;0;40,2;0;40,2;0;40,2;0;40,2;0;40,2;0;40,2;0
40,3;0;40,3;0;40,3;0;40,3;0;40,3;0;40,3;0;40,3;0;40,3;0;40,3;0;40,3;0;40,3;0;40,3;0
40,3;0;40,3;0;40,3;0;40,3;0;40,3;0;40,3;0;40,3;0;40,3;0;40,3;0;40,3;0;40,3;0;40,3;0
40,4;0;40,4;0;40,4;0;40,4;0;40,4;0;40,4;0;40,4;0;40,4;0;40,4;0;40,4;0;40,4;0;40,4;0
40,5;0;40,5;0;40,5;0;40,5;0;40,5;0;40,5;0;40,5;0;40,5;0;40,5;0;40,5;0;40,5;0;40,5;0
40,6;0;40,6;0;40,6;0;40,6;0;40,6;0;40,6;0;40,6;0;40,6;0;40,6;0;40,6;0;40,6;0;40,6;0
40,7;0;40,7;0;40,7;0;40,7;0;40,7;0;40,7;0;40,7;0;40,7;0;40,7;0;40,7;0;40,7;0;40,7;0
40,8;0;40,8;0;40,8;0;40,8;0;40,8;0;40,8;0;40,8;0;40,8;0;40,8;0;40,8;0;40,8;0;40,8;0
40,9;0;40,9;0;40,9;0;40,9;0;40,9;0;40,9;0;40,9;0;40,9;0;40,9;0;40,9;0;40,9;1;40,9;0
40,9;0;40,9;0;40,9;0;40,9;0;40,9;0;40,9;0;40,9;0;40,9;0;40,9;1;40,9;0;40,9;0;40,9;0
41;0;41;0;41;0;41;0;41;0;41;0;41;0;41;0;41;1;41;0;41;0;41;0
41,1;0;41,1;0;41,1;0;41,1;0;41,1;0;41,1;0;41,1;0;41,1;0;41,1;0;41,1;0;41,1;0;41,1;0
41,2;0;41,2;0;41,2;0;41,2;0;41,2;0;41,2;0;41,2;0;41,2;0;41,2;0;41,2;0;41,2;0;41,2;0
41,3;0;41,3;0;41,3;0;41,3;0;41,3;0;41,3;0;41,3;0;41,3;0;41,3;0;41,3;0;41,3;0;41,3;0
41,4;0;41,4;0;41,4;0;41,4;0;41,4;0;41,4;0;41,4;0;41,4;0;41,4;0;41,4;0;41,4;0;41,4;0
41,5;0;41,5;0;41,5;0;41,5;0;41,5;0;41,5;0;41,5;0;41,5;0;41,5;0;41,5;0;41,5;0;41,5;0
41,6;0;41,6;0;41,6;0;41,6;0;41,6;0;41,6;0;41,6;0;41,6;0;41,6;0;41,6;0;41,6;0;41,6;0
41,6;0;41,6;0;41,6;0;41,6;0;41,6;0;41,6;0;41,6;0;41,6;0;41,6;0;41,6;0;41,6;0;41,6;0
41,7;0;41,7;0;41,7;0;41,7;0;41,7;0;41,7;0;41,7;0;41,7;0;41,7;0;41,7;0;41,7;1;41,7;0
41,8;0;41,8;0;41,8;0;41,8;0;41,8;0;41,8;0;41,8;0;41,8;0;41,8;0;41,8;0;41,8;0;41,8;0
41,9;0;41,9;0;41,9;0;41,9;0;41,9;0;41,9;0;41,9;0;41,9;0;41,9;0;41,9;0;41,9;0;41,9;0
42;0;42;0;42;0;42;0;42;0;42;0;42;0;42;0;42;0;42;0;42;0;42;0
42,1;0;42,1;0;42,1;0;42,1;0;42,1;0;42,1;0;42,1;0;42,1;0;42,1;0;42,1;0;42,1;0;42,1;0
42,2;0;42,2;0;42,2;0;42,2;0;42,2;0;42,2;0;42,2;0;42,2;0;42,2;0;42,2;0;42,2;0;42,2;0
42,2;0;42,2;0;42,2;0;42,2;0;42,2;0;42,2;0;42,2;0;42,2;0;42,2;0;42,2;0;42,2;0;42,2;0
42,3;0;42,3;0;42,3;0;42,3;0;42,3;0;42,3;0;42,3;0;42,3;0;42,3;0;42,3;0;42,3;0;42,3;0
42,4;0;42,4;0;42,4;0;42,4;0;42,4;0;42,4;0;42,4;0;42,4;0;42,4;0;42,4;0;42,4;0;42,4;0
42,5;0;42,5;0;42,5;0;42,5;0;42,5;0;42,5;0;42,5;0;42,5;0;42,5;0;42,5;0;42,5;0;42,5;0
42,6;0;42,6;0;42,6;0;42,6;0;42,6;0;42,6;0;42,6;0;42,6;0;42,6;0;42,6;0;42,6;0;42,6;0
42,7;0;42,7;0;42,7;0;42,7;0;42,7;0;42,7;0;42,7;0;42,7;0;42,7;0;42,7;0;42,7;0;42,7;0
42,8;0;42,8;0;42,8;0;42,8;0;42,8;0;42,8;0;42,8;0;42,8;0;42,8;0;42,8;0;42,8;0;42,8;0
42,8;0;42,8;0;42,8;0;42,8;0;42,8;0;42,8;0;42,8;0;42,8;0;42,8;0;42,8;0;42,8;0;42,8;0
42,9;0;42,9;0;42,9;0;42,9;0;42,9;0;42,9;0;42,9;0;42,9;0;42,9;0;42,9;0;42,9;0;42,9;0
43;0;43;0;43;0;43;0;43;0;43;0;43;0;43;0;43;0;43;0;43;0;43;0
43,1;0;43,1;0;43,1;0;43,1;0;43,1;0;43,1;0;43,1;0;43,1;0;43,1;0;43,1;0;43,1;0;43,1;0
43,2;0;43,2;0;43,2;0;43,2;0;43,2;0;43,2;0;43,2;0;43,2;0;43,2;0;43,2;0;43,2;0;43,2;0
43,3;0;43,3;0;43,3;0;43,3;0;43,3;0;43,3;0;43,3;0;43,3;0;43,3;0;43,3;0;43,3;0;43,3;0
43,4;0;43,4;0;43,4;0;43,4;0;43,4;0;43,4;0;43,4;0;43,4;0;43,4;0;43,4;0;43,4;0;43,4;0
43,4;0;43,4;0;43,4;0;43,4;0;43,4;0;43,4;0;43,4;0;43,4;0;43,4;0;43,4;0;43,4;0;43,4;0
43,5;0;43,5;0;43,5;0;43,5;0;43,5;0;43,5;0;43,5;0;43,5;0;43,5;0;43,5;0;43,5;0;43,5;0
43,6;0;43,6;0;43,6;0;43,6;0;43,6;0;43,6;0;43,6;0;43,6;0;43,6;0;43,6;0;43,6;0;43,6;0
43,7;0;43,7;0;43,7;0;43,7;0;43,7;0;43,7;0;43,7;0;43,7;0;43,7;0;43,7;0;43,7;0;43,7;0
43,8;0;43,8;0;43,8;0;43,8;0;43,8;0;43,8;0;43,8;0;43,8;0;43,8;0;43,8;0;43,8;0;43,8;0
43,9;0;43,9;0;43,9;0;43,9;0;43,9;0;43,9;0;43,9;0;43,9;0;43,9;0;43,9;0;43,9;0;43,9;0
44;0;44;0;44;0;44;0;44;0;44;0;44;0;44;0;44;0;44;0;44;0;44;0
44;0;44;0;44;0;44;0;44;0;44;0;44;0;44;0;44;0;44;0;44;0;44;0
44,1;0;44,1;0;44,1;0;44,1;0;44,1;0;44,1;0;44,1;0;44,1;0;44,1;0;44,1;0;44,1;0;44,1;0
44,2;0;44,2;0;44,2;0;44,2;0;44,2;0;44,2;0;44,2;0;44,2;0;44,2;0;44,2;0;44,2;0;44,2;0
44,3;0;44,3;0;44,3;0;44,3;0;44,3;0;44,3;0;44,3;0;44,3;0;44,3;0;44,3;0;44,3;0;44,3;0
44,4;17;44,4;15;44,4;24;44,4;30;44,4;34;44,4;38;44,4;34;44,4;32;44,4;26;44,4;34;44,4;24;44,4;35
